Date,Cases,Deaths,Recovered,Travel_history,Province,City,Latitude (generated),Longitude (generated),Active Cases
2020-03-26,16,0,0,Local - Social Contact,Punjab,Jehlum,32.940548,73.727631,16
2020-03-26,12,0,0,Local - Social Contact,Punjab,Rawalpindi,33.5546,73.1064,12
2020-03-26,2,0,0,Local - Social Contact,Punjab,Faisalabad,31.4155,73.0908,2
2020-03-26,2,0,0,Local - Social Contact,Punjab,Mandi Bahauddin,32.583,73.484,2
2020-03-26,2,0,0,Local - Social Contact,Punjab,Mianwali,32.574,71.526,2
2020-03-26,1,0,0,Local - Social Contact,Punjab,Narowal,32.1,74.883,1
2020-03-26,1,0,0,Local - Social Contact,Punjab,Nankana,31.447,73.697,1
2020-03-26,1,0,0,Local - Social Contact,Punjab,Attock,33.772,72.368,1
2020-03-26,1,0,0,Local - Social Contact,Punjab,Bahawal Nagar,30.55,73.39,1
2020-03-26,7,1,0,Iran/Taftan,Punjab,Dera Ghazi Khan,30.056,70.634,6
2020-03-27,2,0,0,Local - Social Contact,Islamabad,Islamabad,33.7194,73.0741,2
2020-03-27,11,0,1,Unknown,Gilgit-Baltistan,Shigar,0.0,0.0,10
2020-03-27,5,0,0,Unknown,Gilgit-Baltistan,Gilgit,35.918473,74.3335,5
2020-03-27,7,0,0,Iran/Taftan,Sindh,Larkana,27.55,68.216,7
2020-03-27,4,0,1,Local - Social Contact,Sindh,Karachi,24.8709,67.1145,3
2020-03-27,7,0,0,Unknown,Khyber Pakhtunkhwa,Peshawar,34.0114,71.5645,7
2020-03-27,2,0,0,Unknown,Khyber Pakhtunkhwa,Swat,35.429612,72.566529,2
2020-03-27,3,0,0,Unknown,Khyber Pakhtunkhwa,Swabi,34.12,72.472,3
2020-03-27,1,0,0,Unknown,Khyber Pakhtunkhwa,Shangla,34.852059,72.738327,1
2020-03-27,3,0,0,Unknown,Khyber Pakhtunkhwa,Nowshera,33.996,72.013,3
2020-03-27,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Orakzai,33.715754,71.005449,1
2020-03-27,34,0,0,Unknown,Khyber Pakhtunkhwa,Mardan,34.198,72.045,34
2020-03-27,3,0,0,Unknown,Khyber Pakhtunkhwa,Malakand,34.56534,71.983561,3
2020-03-27,2,0,0,Unknown,Khyber Pakhtunkhwa,Mansehra,34.333,73.2,2
2020-03-27,3,0,0,Unknown,Khyber Pakhtunkhwa,Kohat,33.586,71.442,3
2020-03-27,2,0,0,Local - Social Contact,Punjab,Lahore,31.4978,74.3601,2
2020-03-27,2,0,0,Local - Social Contact,Punjab,Faisalabad,31.4155,73.0908,2
2020-03-27,30,2,1,Iran/Taftan,Punjab,Multan,30.1735,71.469,27
2020-03-27,0,0,2,Unknown,Balochistan,Quetta,30.1802,66.9964,-2
2020-03-28,1,0,0,Local - Social Contact,Punjab,Khushab,32.296,72.352,1
2020-03-28,1,1,0,Unknown,Khyber Pakhtunkhwa,Dera Ismail Khan,31.832,70.902,0
2020-03-28,1,0,0,Unknown,Khyber Pakhtunkhwa,Charsadda,34.145,71.731,1
2020-03-28,4,0,0,Unknown,Khyber Pakhtunkhwa,Buner,34.490828,72.518118,4
2020-03-28,1,0,0,Local - Social Contact,Punjab,Nankana,31.447,73.697,1
2020-03-28,1,0,0,Local - Social Contact,Punjab,Mandi Bahauddin,32.583,73.484,1
2020-03-28,2,0,0,Local - Social Contact,Punjab,Sargodha,32.0778,72.6722,2
2020-03-28,1,0,0,Local - Social Contact,Punjab,Vehari,30.033,72.35,1
2020-03-28,26,0,0,Iran/Taftan,Punjab,Multan,30.1735,71.469,26
2020-03-28,14,0,0,Local - Social Contact,Punjab,Lahore,31.4978,74.3601,14
2020-03-28,4,0,0,Local - Social Contact,Punjab,Faisalabad,31.4155,73.0908,4
2020-03-28,10,0,0,Local - Social Contact,Punjab,Gujranwala,32.1547,74.1804,10
2020-03-28,5,0,0,Local - Social Contact,Punjab,Rawalpindi,33.5546,73.1064,5
2020-03-28,2,0,0,Local - Social Contact,Punjab,Jehlum,32.940548,73.727631,2
2020-03-28,29,0,0,Local - Social Contact,Punjab,Gujrat,32.572,74.089,29
2020-03-28,5,0,0,Local - Social Contact,Punjab,Dera Ghazi Khan,30.056,70.634,5
2020-03-28,21,0,0,Iran/Taftan,Punjab,Raiwind,31.254,74.217,21
2020-03-28,12,0,0,International Passenger,Islamabad,Islamabad,33.7194,73.0741,12
2020-03-28,25,1,0,Local - Social Contact,Sindh,Karachi,24.8709,67.1145,24
2020-03-28,4,0,0,Local - Social Contact,Sindh,Hyderabad,25.3763,68.3432,4
2020-03-28,5,0,0,Local - Social Contact,Balochistan,Quetta,30.1802,66.9964,5
2020-03-28,8,0,1,Local - Social Contact,Gilgit-Baltistan,Nagar,36.273351,74.726677,7
2020-03-28,1,0,0,Unknown,Khyber Pakhtunkhwa,Dir Lower,34.868024,71.84701,1
2020-03-28,1,0,0,Unknown,Khyber Pakhtunkhwa,Abbottabad,34.15,73.2138,1
2020-03-29,4,0,1,Local - Social Contact,Islamabad,Islamabad,33.7194,73.0741,3
2020-03-29,0,0,3,Local - Social Contact,Punjab,Lahore,31.4978,74.3601,-3
2020-03-29,1,0,0,Local - Social Contact,Punjab,Vehari,30.033,72.35,1
2020-03-29,1,0,0,Local - Social Contact,Punjab,Bahawalpur,29.3962,71.6869,1
2020-03-29,3,0,0,Local - Social Contact,Punjab,Gujrat,32.572,74.089,3
